Date,Open,High,Low,Close,Adj Close,Volume
2016-07-27,30240.000000,30580.000000,30240.000000,30540.000000,1558.577881,6335050
2016-07-28,30660.000000,30720.000000,29960.000000,30140.000000,1538.164307,9503700
2016-07-29,30400.000000,31140.000000,30220.000000,30780.000000,1570.826050,14985600
2016-08-01,31380.000000,31600.000000,31200.000000,31360.000000,1600.425781,11515400
2016-08-02,31360.000000,31360.000000,30920.000000,30960.000000,1580.012207,8315800
2016-08-03,30960.000000,30960.000000,30340.000000,30340.000000,1548.370972,7504900
2016-08-04,30380.000000,30660.000000,30340.000000,30340.000000,1548.370972,7009950
2016-08-05,30580.000000,31280.000000,30500.000000,31220.000000,1593.281128,6958850
2016-08-08,31320.000000,31500.000000,31120.000000,31380.000000,1601.446289,11125150
2016-08-09,31480.000000,31580.000000,31140.000000,31340.000000,1599.405273,9023200
2016-08-10,31340.000000,31400.000000,30680.000000,30820.000000,1572.867310,12340350
2016-08-11,30820.000000,31180.000000,30520.000000,31180.000000,1591.239624,10533600
2016-08-12,31180.000000,31400.000000,30880.000000,30900.000000,1576.950195,10474850
2016-08-16,30900.000000,31520.000000,30900.000000,31360.000000,1600.425781,10843100
2016-08-17,31380.000000,31400.000000,31020.000000,31320.000000,1598.384521,7446450
2016-08-18,31340.000000,32880.000000,31320.000000,32800.000000,1673.914551,18327050
2016-08-19,32760.000000,33500.000000,32720.000000,33500.000000,1709.638306,16805150
2016-08-22,33480.000000,33840.000000,33180.000000,33300.000000,1699.431641,12612200
2016-08-23,33300.000000,33880.000000,33140.000000,33740.000000,1721.886597,11545700
2016-08-24,33600.000000,33640.000000,32720.000000,33060.000000,1687.183594,15938550
2016-08-25,32600.000000,33180.000000,32440.000000,32780.000000,1672.894043,14173800
2016-08-26,32120.000000,32460.000000,32060.000000,32240.000000,1645.335571,12058000
2016-08-29,32040.000000,32800.000000,31940.000000,32800.000000,1673.914551,8925750
2016-08-30,32940.000000,33420.000000,32660.000000,32900.000000,1679.018188,7849600
2016-08-31,32820.000000,32820.000000,32220.000000,32400.000000,1653.501099,20532200
2016-09-01,31660.000000,31760.000000,31260.000000,31740.000000,1619.818604,18790150
2016-09-02,31900.000000,32260.000000,31760.000000,31940.000000,1630.025391,8153000
2016-09-05,31800.000000,32300.000000,31700.000000,32120.000000,1639.211670,8383800
2016-09-06,32140.000000,32900.000000,31940.000000,32860.000000,1676.976807,7660150
2016-09-07,32960.000000,33040.000000,32420.000000,32420.000000,1654.521851,9591850
2016-09-08,32460.000000,32780.000000,32280.000000,32780.000000,1672.894043,12070850
2016-09-09,32220.000000,32360.000000,31280.000000,31500.000000,1607.570557,13258400
2016-09-12,29800.000000,30120.000000,29120.000000,29300.000000,1495.295532,26499350
2016-09-13,30160.000000,30980.000000,29900.000000,30540.000000,1558.577881,24717250
2016-09-19,30760.000000,31380.000000,30720.000000,31160.000000,1590.219116,22408150
2016-09-20,31180.000000,31760.000000,31180.000000,31700.000000,1617.777222,12921150
2016-09-21,31900.000000,32020.000000,31520.000000,31840.000000,1624.921997,10509050
2016-09-22,32000.000000,32820.000000,31980.000000,32360.000000,1651.459839,11429950
2016-09-23,31640.000000,31960.000000,31320.000000,31420.000000,1603.487793,18299650
2016-09-26,31420.000000,31920.000000,31280.000000,31360.000000,1600.425781,14524800
2016-09-27,31000.000000,31500.000000,30660.000000,31380.000000,1601.446289,9834400
2016-09-28,31080.000000,31460.000000,31080.000000,31340.000000,1599.405273,8706400
2016-09-29,31460.000000,32380.000000,31440.000000,32000.000000,1633.087524,11397550
2016-09-30,31800.000000,32300.000000,31700.000000,31960.000000,1631.046265,11762700
2016-10-04,32200.000000,32480.000000,32120.000000,32280.000000,1647.376953,13053100
2016-10-05,32020.000000,32520.000000,31940.000000,32380.000000,1652.480347,12470450
2016-10-06,33920.000000,34000.000000,33340.000000,33820.000000,1725.969360,29558150
2016-10-07,34000.000000,34320.000000,33800.000000,34120.000000,1741.279541,26050550
2016-10-10,33000.000000,33780.000000,32560.000000,33600.000000,1714.741699,25293300
2016-10-11,32000.000000,32500.000000,30900.000000,30900.000000,1576.950195,38427150
2016-10-12,29900.000000,30900.000000,29880.000000,30700.000000,1566.743286,39088550
2016-10-13,31000.000000,31620.000000,30900.000000,31140.000000,1589.198364,21864550
2016-10-14,30960.000000,31760.000000,30940.000000,31540.000000,1609.611938,14158950
2016-10-17,31300.000000,32040.000000,30760.000000,31800.000000,1622.880615,12785200
2016-10-18,31440.000000,31900.000000,31440.000000,31780.000000,1621.860107,10384500
2016-10-19,31580.000000,32860.000000,31500.000000,32500.000000,1658.604614,15444550
2016-10-20,32520.000000,33020.000000,32180.000000,32400.000000,1653.501099,10330450
2016-10-21,32120.000000,32260.000000,31760.000000,31780.000000,1621.860107,10477500
2016-10-24,31860.000000,32160.000000,31800.000000,32160.000000,1641.252930,9289950
2016-10-25,32000.000000,32080.000000,31840.000000,31940.000000,1630.025391,9866100
2016-10-26,31940.000000,31980.000000,31240.000000,31340.000000,1599.405273,10534000
2016-10-27,31420.000000,32340.000000,31120.000000,31460.000000,1605.529175,14117000
2016-10-28,31600.000000,32280.000000,31600.000000,32280.000000,1647.376953,10214200
2016-10-31,32320.000000,32780.000000,32220.000000,32780.000000,1672.894043,12067200
2016-11-01,32600.000000,33040.000000,32240.000000,33040.000000,1686.162720,10347400
2016-11-02,32800.000000,33040.000000,32620.000000,32860.000000,1676.976807,10099250
2016-11-03,32600.000000,32800.000000,32120.000000,32320.000000,1649.418457,10341850
2016-11-04,32100.000000,32680.000000,32100.000000,32540.000000,1660.645874,7103850
2016-11-07,32940.000000,33000.000000,32680.000000,32800.000000,1673.914551,7661900
2016-11-08,32980.000000,32980.000000,32700.000000,32880.000000,1677.997437,5417450
2016-11-09,32920.000000,33140.000000,31820.000000,31920.000000,1629.004761,15683600
2016-11-10,32600.000000,33000.000000,32360.000000,32980.000000,1683.100830,11795350
2016-11-11,31700.000000,32360.000000,31700.000000,31960.000000,1631.046265,12836800
2016-11-14,31900.000000,31920.000000,31040.000000,31060.000000,1585.115601,15133300
2016-11-15,31060.000000,31620.000000,30780.000000,30780.000000,1570.826050,13665700
2016-11-16,30800.000000,31280.000000,30800.000000,31160.000000,1590.219116,13308200
2016-11-17,31100.000000,31520.000000,30900.000000,31360.000000,1600.425781,7870550
2016-11-18,31640.000000,31760.000000,31400.000000,31720.000000,1618.797974,9460750
2016-11-21,31300.000000,32120.000000,31300.000000,31860.000000,1625.942871,8180200
2016-11-22,32140.000000,32900.000000,32000.000000,32800.000000,1673.914551,9751100
2016-11-23,33220.000000,33220.000000,32520.000000,32980.000000,1683.100830,12668600
2016-11-24,32980.000000,33040.000000,32660.000000,33000.000000,1684.121460,7757150
2016-11-25,32820.000000,33040.000000,32660.000000,33000.000000,1684.121460,6276900
2016-11-28,33000.000000,33620.000000,32800.000000,33540.000000,1711.679932,13294050
